ID;Key;Translation
7b19a0ee-fdba-4fba-bf4d-c2764d196f7c;LearnPageTitle;Alemão para Brasileiros
4e168db9-b648-4815-aab4-63e1d60ba296;Next;Próximo
ff297e22-285e-4cd0-99eb-c497e3f71713;WellKnown;Eu sei
35b45cfa-228d-476f-9888-d704ba34a5cb;Failed;Esquecí
2d33acae-316f-4e03-9d15-41208b27e7f3;MoreOrLess;mais ou menos
10519eec-ec5c-47ff-b8ea-d0cfde039c63;noWordsLeft;No momento, voce tem uma pausa
5f20cea4-0b1d-40c4-884c-c2a6a7858e39;WordsInShortMemoryLabel;Palavras em memória de curto prazo
151db6f3-c50d-42e2-9fcb-ef514c5e1f9e;WordsInLongMemoryLabel;Palavras em memória de longo prazo
