ID;Key;Translation
7b19a0ee-fdba-4fba-bf4d-c2764d196f7c;LearnPageTitle;Deutsch/Portuguiesisch für Deutsche
4e168db9-b648-4815-aab4-63e1d60ba296;Next;Weiter
55fb9ad9-16a8-4076-b288-40644bf7fdf8;NotNow;Nicht jetzt
ff297e22-285e-4cd0-99eb-c497e3f71713;WellKnown;Weiß ich
35b45cfa-228d-476f-9888-d704ba34a5cb;Failed;Vergessen
2d33acae-316f-4e03-9d15-41208b27e7f3;MoreOrLess;halb gewusst
10519eec-ec5c-47ff-b8ea-d0cfde039c63;noWordsLeft;Im Augenblick keine Vokabeln mehr zu lernen!
5f20cea4-0b1d-40c4-884c-c2a6a7858e39;WordsInShortMemoryLabel;Wörter im Kurzzeitgedächtnis:
151db6f3-c50d-42e2-9fcb-ef514c5e1f9e;WordsInLongMemoryLabel;Wörter im Langzeitgedächtnis:
